 5000 4.5  0.0 2 IC   0.5548   0.4509   0.1547   0.2591   0.4555   0.5858  -0.0127   0.5124  -0.0085   7.2659 -16.7031  17.6700  -6.5665
 5000 4.5  0.0 2 JJ   0.4245   0.2763   0.2207   0.0036   0.6483   0.4688  -0.0181   0.3690  -0.0112   9.4247 -21.9743  22.9876  -8.5689
 5000 4.5  0.0 2 HJ   0.3360   0.1475   0.2806  -0.2052   0.8337   0.3877  -0.0211   0.2747  -0.0132  10.3416 -23.6497  24.2274  -8.9453
 5000 4.5  0.0 2 KJ   0.2864   0.1345   0.2260  -0.1514   0.6743   0.3270  -0.0166   0.2180  -0.0137  11.7205 -27.4339  28.2224 -10.4270
 5000 5.0  0.0 2 uS   0.6647   0.6836  -0.0282   0.6889  -0.0373   0.6383   0.0108   0.6480  -0.0036   3.4837  -7.0766   7.2219  -2.4173
 5000 5.0  0.0 2 vS   0.7642   0.8385  -0.1107   0.9533  -0.2914   0.7281   0.0148   0.7454  -0.0028   3.7369  -8.2663   8.9040  -3.0942
 5000 5.0  0.0 2 bS   0.8350   0.8239   0.0165   0.8095   0.0393   0.8444  -0.0038   0.8225  -0.0021   2.7041  -6.0774   7.3922  -2.8141
 5000 5.0  0.0 2 yS   0.7337   0.6918   0.0625   0.6163   0.1809   0.7486  -0.0061   0.7165  -0.0033   3.6586  -8.3017   9.5003  -3.5924
 5000 5.0  0.0 2 UJ   0.6633   0.6716  -0.0123   0.6612   0.0033   0.6429   0.0083   0.6454  -0.0037   3.7037  -7.7592   8.0775  -2.7871
 5000 5.0  0.0 2 BJ   0.8087   0.8418  -0.0493   0.8970  -0.1361   0.7967   0.0049   0.7931  -0.0024   3.2262  -7.2617   8.3166  -3.0351
 5000 5.0  0.0 2 VJ   0.7380   0.6965   0.0619   0.6221   0.1786   0.7530  -0.0061   0.7200  -0.0034   3.8078  -8.6809   9.9084  -3.7463
 5000 5.0  0.0 2 RC   0.6441   0.5559   0.1314   0.3960   0.3822   0.6726  -0.0116   0.6211  -0.0047   4.8471 -11.1852  12.4374  -4.7308
 5000 5.0  0.0 2 IC   0.5560   0.4490   0.1593   0.2536   0.4659   0.5890  -0.0135   0.5276  -0.0058   5.8972 -13.8398  15.1323  -5.7535
 5000 5.0  0.0 2 JJ   0.4227   0.2688   0.2292  -0.0129   0.6710   0.4688  -0.0188   0.3853  -0.0076   7.6257 -18.1932  19.6170  -7.4843
 5000 5.0  0.0 2 HJ   0.3269   0.1327   0.2892  -0.2317   0.8605   0.3785  -0.0211   0.2870  -0.0090   8.3937 -19.5622  20.5671  -7.7620
 5000 5.0  0.0 2 KJ   0.2838   0.1257   0.2355  -0.1709   0.7005   0.3260  -0.0173   0.2371  -0.0093   9.4874 -22.7647  24.0757  -9.0967
 5000 5.5  0.0 2 uS   0.6354   0.6212   0.0210   0.5681   0.1031   0.6190   0.0067   0.6242  -0.0030   3.3621  -6.7836   6.9730  -2.3758
 5000 5.5  0.0 2 vS   0.7236   0.7614  -0.0558   0.8079  -0.1292   0.6999   0.0096   0.7088  -0.0026   3.6891  -8.1620   8.8553  -3.1359
 5000 5.5  0.0 2 bS   0.8182   0.7830   0.0520   0.7276   0.1389   0.8340  -0.0064   0.8093  -0.0017   2.4507  -5.4123   6.7224  -2.5973
 5000 5.5  0.0 2 yS   0.7202   0.6609   0.0874   0.5588   0.2472   0.7387  -0.0075   0.7079  -0.0026   3.3746  -7.6053   8.8115  -3.3648
 5000 5.5  0.0 2 UJ   0.6254   0.5966   0.0424   0.5220   0.1585   0.6158   0.0039   0.6128  -0.0032   3.6559  -7.6303   7.9817  -2.8033
 5000 5.5  0.0 2 BJ   0.7919   0.8055  -0.0201   0.8243  -0.0496   0.7860   0.0024   0.7800  -0.0020   2.9914  -6.6895   7.7650  -2.8641
 5000 5.5  0.0 2 VJ   0.7219   0.6630   0.0869   0.5615   0.2459   0.7405  -0.0075   0.7091  -0.0027   3.5181  -7.9697   9.1989  -3.5101
