 2200 5.0  0.0 2 Sg  1.1119  1.6336 -0.6315  1.8096 -0.9215  0.9598 -0.4933 -0.0317  0.3612  0.1202  0.5462
 2200 5.0  0.0 2 Sr  1.0606  1.3410 -0.3395  1.4393 -0.5002  0.9783 -0.2668  0.0255  0.4392  0.4085  0.1260
 2200 5.0  0.0 2 Si  0.9937  1.0723 -0.0952  1.0772 -0.1103  0.9732 -0.0663  0.1593  0.6496  0.0096  0.1812
 2200 5.0  0.0 2 Sz  0.9814  1.0011 -0.0239  0.9922 -0.0142  0.9773 -0.0132  0.2215  0.4049  0.5081 -0.1330
 2400 3.5  0.0 2 Su  1.0644  1.3805 -0.3827  1.5261 -0.6099  0.9677 -0.3134 -0.3078  1.0013  0.1184  0.1402
 2400 3.5  0.0 2 Sg  1.1145  1.6070 -0.5961  1.7926 -0.8956  0.9685 -0.4735  0.0076 -0.0630  1.0233  0.0291
 2400 3.5  0.0 2 Sr  1.0794  1.4235 -0.4166  1.5521 -0.6243  0.9774 -0.3306  0.0568  0.0892  0.9204 -0.0647
 2400 3.5  0.0 2 Si  1.0086  1.1046 -0.1162  1.1281 -0.1578  0.9816 -0.0876  0.1038  0.6204  0.2268  0.0490
 2400 3.5  0.0 2 Sz  0.9523  0.8305  0.1475  0.7741  0.2354  0.9896  0.1208  0.1633  0.8175  0.1635 -0.1453
 2400 4.0  0.0 2 Su  1.0600  1.3350 -0.3330  1.4583 -0.5262  0.9762 -0.2715 -0.2133  0.8639  0.2415  0.0759
 2400 4.0  0.0 2 Sg  1.1003  1.5269 -0.5163  1.6901 -0.7789  0.9735 -0.4111  0.0212 -0.0133  1.0459 -0.0555
 2400 4.0  0.0 2 Sr  1.0594  1.3216 -0.3175  1.4188 -0.4748  0.9817 -0.2517  0.0558  0.2722  0.7338 -0.0603
 2400 4.0  0.0 2 Si  0.9903  1.0342 -0.0532  1.0318 -0.0549  0.9794 -0.0352  0.1511  0.6573  0.1195  0.0731
 2400 4.0  0.0 2 Sz  0.9390  0.7851  0.1863  0.7125  0.2991  0.9862  0.1531  0.1994  0.8177  0.1204 -0.1393
 2400 4.5  0.0 2 Su  1.0600  1.3340 -0.3316  1.4461 -0.5099  0.9778 -0.2665 -0.1051  0.6543  0.3655  0.0673
 2400 4.5  0.0 2 Sg  1.0967  1.5207 -0.5132  1.6771 -0.7665  0.9714 -0.4063  0.0391  0.0225  0.9117  0.0265
 2400 4.5  0.0 2 Sr  1.0509  1.2867 -0.2855  1.3702 -0.4218  0.9815 -0.2248  0.0556  0.3888  0.5422  0.0146
